"url","indexed","published","search_indexed","title_snippet","content_snippet","title","content","root_url","domain_url","host_url","parent_url","lang","porn_level","fluency_level","spam_level","sentiment","source_type","post_type","cluster_id","meta_cluster_id","tags_internal","tags_marking","tags_customer","entity_urls","images.url","images.width","images.height","images.legend","videos.url","videos.width","videos.height","videos.legend","pagemonitoring_sitemon_siteid","matched_profile","article_extended_attributes.facebook_shares","article_extended_attributes.facebook_likes","article_extended_attributes.twitter_retweets","article_extended_attributes.url_views","article_extended_attributes.pinterest_likes","article_extended_attributes.pinterest_pins","article_extended_attributes.pinterest_repins","article_extended_attributes.youtube_views","article_extended_attributes.youtube_likes","article_extended_attributes.youtube_dislikes","article_extended_attributes.instagram_likes","article_extended_attributes.twitter_shares","article_extended_attributes.num_comments","source_extended_attributes.alexa_pageviews","source_extended_attributes.facebook_followers","source_extended_attributes.twitter_followers","source_extended_attributes.instagram_followers","source_extended_attributes.pinterest_followers","extra_article_attributes.world_data.continent","extra_article_attributes.world_data.country","extra_article_attributes.world_data.country_code","extra_article_attributes.world_data.region","extra_article_attributes.world_data.city","extra_article_attributes.world_data.longitude","extra_article_attributes.world_data.latitude","extra_author_attributes.id","extra_author_attributes.type","extra_author_attributes.name","extra_author_attributes.birthdate.date","extra_author_attributes.birthdate.resolution","extra_author_attributes.gender","extra_author_attributes.image_url","extra_author_attributes.short_name","extra_author_attributes.url","extra_author_attributes.world_data.continent","extra_author_attributes.world_data.country","extra_author_attributes.world_data.country_code","extra_author_attributes.world_data.region","extra_author_attributes.world_data.city","extra_author_attributes.world_data.longitude","extra_author_attributes.world_data.latitude","extra_source_attributes.world_data.continent","extra_source_attributes.world_data.country","extra_source_attributes.world_data.country_code","extra_source_attributes.world_data.region","extra_source_attributes.world_data.city","extra_source_attributes.world_data.longitude","extra_source_attributes.world_data.latitude","engagement","reach","retweets"
"http://twitter.com/Wolfrandre/status/554108250572861440","11/01/2015 03:51","11/01/2015 03:51","11/01/2015 03:54",NA,"フジテレビの番組、ナスカの地上絵に違法侵入し寝そべる　責任追及の可能性も blog.livedoor.jp/dqnplus/archiv… フジはグリーンピースだった…？ pic.twitter.com/cjCDhbJHKd",NA,"フジテレビの番組、ナスカの地上絵に違法侵入し寝そべる　責任追及の可能性も http://t.co/1Y6I8b53WL フジはグリーンピースだった…？ http://t.co/cjCDhbJHKd","http://twitter.com/Wolfrandre/","http://twitter.com/","http://twitter.com/","http://twitter.com/Wolfrandre/status/554108250572861440","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","IMAGE",NA,NA,"hasImage","",NA,"[{""expended_url"":""http://twitter.com/Wolfrandre/status/554108250572861440/photo/1"",""display_url"":""pic.twitter.com/cjCDhbJHKd"",""url"":""http://t.co/cjCDhbJHKd""},{""expended_url"":""http://blog.livedoor.jp/dqnplus/archives/1824271.html"",""display_url"":""blog.livedoor.jp/dqnplus/archiv…"",""url"":""http://t.co/1Y6I8b53WL""}]","http://pbs.twimg.com/media/B7CWhGkCMAEhoWV.jpg",0,0,NA,NA,0,0,NA,NA,"SEARCH / Greenpeace / Greenpeace,FILTER / Cop20 / Nazca",0,0,14,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,6953,0,0,"","","","","",0,0,"tw:168530824",NA,"カフェイン@テンションハイ",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/462280753414299648/u_6fD2dH_normal.jpeg","Wolfrandre",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,14,6953,"14"
"http://twitter.com/andino2000/status/554083886519447552","11/01/2015 02:14","11/01/2015 02:14","11/01/2015 02:17",NA,"【ペルー】ナスカの地上絵に違法侵入したグリーンピース活動家の1人について司法は6カ月の拘禁認める。今後国籍国に身柄送還の手続きがとられる見通し。また文化省は、違法侵入したフジテレビレポーターへの責任追及の可能性にあらためて言及。andina.blog.fc2.com/blog-entry-468…",NA,"【ペルー】ナスカの地上絵に違法侵入したグリーンピース活動家の1人について司法は6カ月の拘禁認める。今後国籍国に身柄送還の手続きがとられる見通し。また文化省は、違法侵入したフジテレビレポーターへの責任追及の可能性にあらためて言及。http://t.co/7coYMehYsV","http://twitter.com/andino2000/","http://twitter.com/","http://twitter.com/","http://twitter.com/andino2000/status/554083886519447552","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","LINK",NA,NA,"","",NA,"[{""expended_url"":""http://andina.blog.fc2.com/blog-entry-468.html"",""display_url"":""andina.blog.fc2.com/blog-entry-468…"",""url"":""http://t.co/7coYMehYsV""}]","",0,0,NA,NA,0,0,NA,NA,"SEARCH / Greenpeace / Greenpeace,FILTER / Cop20 / Nazca",0,0,2,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,227,0,0,"","","","","",0,0,"tw:271231456",NA,"La Andina",0,"DAY","FEMALE","http://pbs.twimg.com/profile_images/1710901255/andino00_normal.jpg","andino2000",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,2,227,"2"
"http://twitter.com/alfa_what_/status/553945282610601984","10/01/2015 17:03","10/01/2015 17:03","10/01/2015 17:06",NA,"国際環境NGOグリーンピースが「ナスカの地上絵」のそばに巨大な落書き　ペルー政府も激怒 #2chmatome #news #newsjp pic.twitter.com/4xVQWLMnrk",NA,"国際環境NGOグリーンピースが「ナスカの地上絵」のそばに巨大な落書き　ペルー政府も激怒 #2chmatome #news #newsjp http://t.co/4xVQWLMnrk","http://twitter.com/alfa_what_/","http://twitter.com/","http://twitter.com/","http://twitter.com/alfa_what_/status/553945282610601984","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","IMAGE",NA,NA,"hasImage","read",NA,"[{""expended_url"":""http://twitter.com/alfa_what_/status/553945282610601984/photo/1"",""display_url"":""pic.twitter.com/4xVQWLMnrk"",""url"":""http://t.co/4xVQWLMnrk""}]","http://pbs.twimg.com/media/B7ACTK2CAAAc98-.jpg",0,0,NA,NA,0,0,NA,NA,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,116,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,268,0,0,"","","","","",0,0,"tw:2860686666",NA,"アルファルファってなに。",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/523147452300267521/O-Niroty_normal.jpeg","alfa_what_",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,116,268,"116"
"http://twitter.com/lautarogodoy/status/553706430264381440","10/01/2015 01:14","10/01/2015 01:14","10/01/2015 01:17",NA,"ナスカ地裁、ナスカの地上絵を毀損した罪でグリーンピースのアルゼンチン人活動家に禁錮刑6ヶ月の判決を下す。外務省を通してアルゼンチン政府に身柄引き渡しの要請を予定。 → elcomercio.pe/peru/ica/nasca… @elcomercioさんから",NA,"ナスカ地裁、ナスカの地上絵を毀損した罪でグリーンピースのアルゼンチン人活動家に禁錮刑6ヶ月の判決を下す。外務省を通してアルゼンチン政府に身柄引き渡しの要請を予定。 → http://t.co/60lU5SbTHW @elcomercioさんから","http://twitter.com/lautarogodoy/","http://twitter.com/","http://twitter.com/","http://twitter.com/lautarogodoy/status/553706430264381440","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","LINK",NA,NA,"","",NA,"[{""expended_url"":""http://elcomercio.pe/peru/ica/nasca-dictan-prision-preventiva-activista-greenpeace-noticia-1783865"",""display_url"":""elcomercio.pe/peru/ica/nasca…"",""url"":""http://t.co/60lU5SbTHW""}]","",0,0,NA,NA,0,0,NA,NA,"SEARCH / Greenpeace / Greenpeace,FILTER / Cop20 / Nazca",0,0,13,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,552,0,0,"","","","","",0,0,"tw:5977102",NA,"ラウタ郎",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/1088209753/origin12767949488862_normal.jpg","lautarogodoy",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,13,552,"13"
"http://twitter.com/Polaris_sky/status/553322152192004096","08/01/2015 23:47","08/01/2015 23:47","08/01/2015 23:50",NA,"フジテレビの番組、ナスカの地上絵に違法侵入し寝そべる　責任追及の可能性も : 痛いニュース(ﾉ∀`) blog.livedoor.jp/dqnplus/archiv… グリーンピースが怒られた事から学ばないフジテレビ。",NA,"フジテレビの番組、ナスカの地上絵に違法侵入し寝そべる　責任追及の可能性も : 痛いニュース(ﾉ∀`) http://t.co/7MfgU0Y84j グリーンピースが怒られた事から学ばないフジテレビ。","http://twitter.com/Polaris_sky/","http://twitter.com/","http://twitter.com/","http://twitter.com/Polaris_sky/status/553322152192004096","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","LINK",NA,NA,"","",NA,"[{""expended_url"":""http://blog.livedoor.jp/dqnplus/archives/1824271.html"",""display_url"":""blog.livedoor.jp/dqnplus/archiv…"",""url"":""http://t.co/7MfgU0Y84j""}]","",0,0,NA,NA,0,0,NA,NA,"SEARCH / Greenpeace / Greenpeace,FILTER / Cop20 / Nazca",0,0,3,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,5248,0,0,"","","","","",0,0,"tw:63110426",NA,"Polaris",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/378800000680326970/5c08a842b68fed5d4b2900534ecc3c87_normal.jpeg","Polaris_sky",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,3,5248,"3"
"http://twitter.com/chiaranCo/status/553101994743709697","08/01/2015 09:12","08/01/2015 09:12","08/01/2015 09:15",NA,"ナスカの地上絵にフジテレビの番組で寝そべる　ガイド役の考古学者を刑事告発へ huffingtonpost.jp/2015/01/07/naz… 幼児以下の発想ね、ガイド以前の話でしょ？ グリーンピースにしても、フジテレビも常識的な抑止力ってないの、バーカ",NA,"ナスカの地上絵にフジテレビの番組で寝そべる　ガイド役の考古学者を刑事告発へ http://t.co/kkFViWGDoR 幼児以下の発想ね、ガイド以前の話でしょ？ グリーンピースにしても、フジテレビも常識的な抑止力ってないの、バーカ","http://twitter.com/chiaranCo/","http://twitter.com/","http://twitter.com/","http://twitter.com/chiaranCo/status/553101994743709697","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","LINK",NA,NA,"","",NA,"[{""expended_url"":""http://www.huffingtonpost.jp/2015/01/07/nazca-fujitv_n_6433480.html"",""display_url"":""huffingtonpost.jp/2015/01/07/naz…"",""url"":""http://t.co/kkFViWGDoR""}]","",0,0,NA,NA,0,0,NA,NA,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,4,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,790,0,0,"","","","","",0,0,"tw:620671138",NA,"きあらん ",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/481733605186494465/ISwARXhR_normal.png","chiaranCo",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,4,790,"4"
"http://twitter.com/inagaki_kt/status/553032678434287616","08/01/2015 04:37","08/01/2015 04:37","08/01/2015 04:39",NA,"グリーンピースっといっしょに処分しろ 【続報】ペルー政府、フジテレビ番組の『ナスカの地上絵』違法接近でガイド役の考古学者を刑事告発へ！　フジ女性ディレクターについては告発を検討｜保守速報 hosyusokuhou.jp/archives/42193… @hoshusokuhouさんから",NA,"グリーンピースっといっしょに処分しろ 【続報】ペルー政府、フジテレビ番組の『ナスカの地上絵』違法接近でガイド役の考古学者を刑事告発へ！　フジ女性ディレクターについては告発を検討｜保守速報 http://t.co/SfsoU9Sdfq @hoshusokuhouさんから","http://twitter.com/inagaki_kt/","http://twitter.com/","http://twitter.com/","http://twitter.com/inagaki_kt/status/553032678434287616","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","LINK",NA,NA,"","",NA,"[{""expended_url"":""http://hosyusokuhou.jp/archives/42193797.html"",""display_url"":""hosyusokuhou.jp/archives/42193…"",""url"":""http://t.co/SfsoU9Sdfq""}]","",0,0,NA,NA,0,0,NA,NA,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,6,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,5257,0,0,"","","","","",0,0,"tw:291668622",NA,"inagaki＠糖質制限　朝日新聞打倒",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/528201402401574913/SX5EwpUq_normal.jpeg","inagaki_kt",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,6,5257,"6"
"http://twitter.com/Hijiri004/status/552999226083266560","08/01/2015 02:24","08/01/2015 02:24","08/01/2015 02:26",NA,"グリーンピースより悪質なんだが( ꒪⌓꒪) QT @alfalfafafa: 【イカ県激おこ】フジテレビの番組がナスカの地上絵に違法侵入。謝罪会見まだー？ﾁﾝﾁﾝ alfalfalfa.com/archives/77345… pic.twitter.com/Z9s72WouKO",NA,"グリーンピースより悪質なんだが( ꒪⌓꒪) QT @alfalfafafa: 【イカ県激おこ】フジテレビの番組がナスカの地上絵に違法侵入。謝罪会見まだー？ﾁﾝﾁﾝ http://t.co/j70Ztu3hAW http://t.co/Z9s72WouKO","http://twitter.com/Hijiri004/","http://twitter.com/","http://twitter.com/","http://twitter.com/alfalfafafa/status/552726627868606465","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","IMAGE",NA,NA,"hasImage,isComment,isTwitterReply","",NA,"[{""expended_url"":""http://twitter.com/alfalfafafa/status/552726627868606465/photo/1"",""display_url"":""pic.twitter.com/Z9s72WouKO"",""url"":""http://t.co/Z9s72WouKO""},{""expended_url"":""http://alfalfalfa.com/archives/7734593.html"",""display_url"":""alfalfalfa.com/archives/77345…"",""url"":""http://t.co/j70Ztu3hAW""}]","http://pbs.twimg.com/media/B6ut8IQCYAEQwtp.jpg",0,0,NA,NA,0,0,NA,NA,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,5,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,512,0,0,"","","","","",0,0,"tw:98656336",NA,"ひじり",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/1467704155/___T2_normal.jpg","Hijiri004",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,5,512,"5"
"http://twitter.com/trendword_video/status/552940344833105920","07/01/2015 22:31","07/01/2015 22:30","07/01/2015 22:33",NA,"『環境保護団体グリーンピースがナスカの地上絵を破壊』 bit.ly/14wrHqZ -YouTube -動画まとめ( ナスカの地上絵 )",NA,"『環境保護団体グリーンピースがナスカの地上絵を破壊』 http://t.co/GSDvDPCahK -YouTube -動画まとめ( ナスカの地上絵 )","http://twitter.com/trendword_video/","http://twitter.com/","http://twitter.com/","http://twitter.com/trendword_video/status/552940344833105920","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","LINK",NA,NA,"","",NA,"[{""expended_url"":""http://bit.ly/14wrHqZ"",""display_url"":""bit.ly/14wrHqZ"",""url"":""http://t.co/GSDvDPCahK""}]","",0,0,NA,NA,0,0,NA,NA,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,11,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,530,0,0,"","","","","",0,0,"tw:2388287598",NA,"トレンドワード＠YouTube動画まとめ",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/444307937872211969/4QkDDtke_normal.png","trendword_video",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,11,530,"11"
"http://twitter.com/truth_moon_bear/status/552922989407129600","07/01/2015 21:22","07/01/2015 21:21","07/01/2015 21:24",NA,"害悪グリーンピースの次は #フジテレビ あまりの視聴率の悪さに炎上商法とか('A`)マジカス 【#ナスカの地上絵 違法侵入】 ペルーの皆様、糞ウジTVがご迷惑をかけて申し訳ありません。 blog.livedoor.jp/dqnplus/archiv… pic.twitter.com/gwqghVcbmg",NA,"害悪グリーンピースの次は #フジテレビ あまりの視聴率の悪さに炎上商法とか('A`)マジカス 【#ナスカの地上絵 違法侵入】 ペルーの皆様、糞ウジTVがご迷惑をかけて申し訳ありません。 http://t.co/mG6k6gS3V8 http://t.co/gwqghVcbmg","http://twitter.com/truth_moon_bear/","http://twitter.com/","http://twitter.com/","http://twitter.com/truth_moon_bear/status/552922989407129600","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","IMAGE",NA,NA,"hasImage","",NA,"[{""expended_url"":""http://twitter.com/truth_moon_bear/status/552922989407129600/photo/1"",""display_url"":""pic.twitter.com/gwqghVcbmg"",""url"":""http://t.co/gwqghVcbmg""},{""expended_url"":""http://blog.livedoor.jp/dqnplus/archives/1824271.html"",""display_url"":""blog.livedoor.jp/dqnplus/archiv…"",""url"":""http://t.co/mG6k6gS3V8""}]","http://pbs.twimg.com/media/B6xfv92CYAE5jWQ.jpg",0,0,NA,NA,0,0,NA,NA,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,4,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,8232,0,0,"","","","","",0,0,"tw:527632572",NA,"Truth@結城友奈が最高に泣ける",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/516461089291128832/yK93TwKt_normal.png","truth_moon_bear",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,4,8232,"4"
"http://twitter.com/kbts_sci/status/552850454464315394","07/01/2015 16:33","07/01/2015 16:33","07/01/2015 16:36",NA,"昨年末のこの記事が、朝日新聞デジタルで最近の１５分間でアクセス数の多かったトップ１０に復活しています（現在トップ３）。なぜ？ ナスカの地上絵にグリーンピース侵入　足あと残り波紋 - 朝日新聞デジタル t.asahi.com/gpqp",NA,"昨年末のこの記事が、朝日新聞デジタルで最近の１５分間でアクセス数の多かったトップ１０に復活しています（現在トップ３）。なぜ？ ナスカの地上絵にグリーンピース侵入　足あと残り波紋 - 朝日新聞デジタル http://t.co/FickrOmelq","http://twitter.com/kbts_sci/","http://twitter.com/","http://twitter.com/","http://twitter.com/kbts_sci/status/552850454464315394","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","LINK",NA,NA,"","",NA,"[{""expended_url"":""http://t.asahi.com/gpqp"",""display_url"":""t.asahi.com/gpqp"",""url"":""http://t.co/FickrOmelq""}]","",0,0,NA,NA,0,0,NA,NA,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,9,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,826,0,0,"","","","","",0,0,"tw:2397318798",NA,"小林哲",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/446160211640733696/GITNxKhr_normal.jpeg","kbts_sci",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,9,826,"9"
"http://twitter.com/yoshitunekodomo/status/552848189900869633","07/01/2015 16:24","07/01/2015 16:24","07/01/2015 16:26",NA,"ナスカの地上絵にグリーンピース侵入　足あと残り波紋 - 朝日新聞デジタル asahi.com/articles/ASGDB…",NA,"ナスカの地上絵にグリーンピース侵入　足あと残り波紋 - 朝日新聞デジタル http://t.co/tfOGH7sw95","http://twitter.com/yoshitunekodomo/","http://twitter.com/","http://twitter.com/","http://twitter.com/yoshitunekodomo/status/552848189900869633","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","LINK",NA,NA,"","",NA,"[{""expended_url"":""http://www.asahi.com/articles/ASGDB4RLVGDBUHBI015.html"",""display_url"":""asahi.com/articles/ASGDB…"",""url"":""http://t.co/tfOGH7sw95""}]","",0,0,NA,NA,0,0,NA,NA,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,2,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,8951,0,0,"","","","","",0,0,"tw:359817146",NA,"ヨシツネ",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/547204878255153153/hhLg-SVA_normal.jpeg","yoshitunekodomo",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,2,8951,"2"
"http://twitter.com/masuda_yokohama/status/552813321661841409","07/01/2015 14:05","07/01/2015 14:05","07/01/2015 14:08",NA,"フジテレビのバラエティー番組でナスカの地上絵に近寄って寝そべったりしていた由。フジテレビはあのグリーンピースの一件をどう報じたのだろうか… headlines.yahoo.co.jp/hl?a=20150107-…",NA,"フジテレビのバラエティー番組でナスカの地上絵に近寄って寝そべったりしていた由。フジテレビはあのグリーンピースの一件をどう報じたのだろうか… http://t.co/RsPF69Emxe","http://twitter.com/masuda_yokohama/","http://twitter.com/","http://twitter.com/","http://twitter.com/masuda_yokohama/status/552813321661841409","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","LINK",NA,NA,"","",NA,"[{""expended_url"":""http://headlines.yahoo.co.jp/hl?a=20150107-00000138-spnannex-ent"",""display_url"":""headlines.yahoo.co.jp/hl?a=20150107-…"",""url"":""http://t.co/RsPF69Emxe""}]","",0,0,NA,NA,0,0,NA,NA,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,4,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,625,0,0,"","","","","",0,0,"tw:279790578",NA,"増田ジゴ",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/1382726198/090725_1806_02_normal.jpg","masuda_yokohama",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,4,625,"4"
"http://twitter.com/suzmins/status/552810707343781889","07/01/2015 13:55","07/01/2015 13:55","07/01/2015 13:57",NA,"フジテレビの番組、ナスカの地上絵に違法侵入し寝そべる　責任追及の可能性も blog.livedoor.jp/dqnplus/archiv… グリーンピースが騒動を起こした直後に 日本人として申し訳なく、恥ずかしい フジTV社長は速やかに謝罪とともに BSの電波を総務省に返納してはどうか!",NA,"フジテレビの番組、ナスカの地上絵に違法侵入し寝そべる　責任追及の可能性も http://t.co/adWd8NVhzG グリーンピースが騒動を起こした直後に 日本人として申し訳なく、恥ずかしい フジTV社長は速やかに謝罪とともに BSの電波を総務省に返納してはどうか!","http://twitter.com/suzmins/","http://twitter.com/","http://twitter.com/","http://twitter.com/suzmins/status/552810707343781889","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","LINK",NA,NA,"","",NA,"[{""expended_url"":""http://blog.livedoor.jp/dqnplus/archives/1824271.html"",""display_url"":""blog.livedoor.jp/dqnplus/archiv…"",""url"":""http://t.co/adWd8NVhzG""}]","",0,0,NA,NA,0,0,NA,NA,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,11,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,681,0,0,"","","","","",0,0,"tw:69786214",NA,"Suzuki",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/3551233148/162ce91b575d81ef8b56bca1ae0fd585_normal.jpeg","suzmins",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,11,681,"11"
"http://twitter.com/dorac0/status/552802075034152961","07/01/2015 13:21","07/01/2015 13:20","07/01/2015 13:23",NA,"@dorac0 この一件見て思い出したのが、去年末に一世を風靡しネット民の怒りと軽蔑を受けた2つの事件、青木大和の｢＃どうして解散するんですかdic.nicovideo.jp/a/%E3%81%A9%E3…」とグリーンピースによる｢ナスカの地上絵破壊テロnews.aol.jp/2014/12/10/gre…」",NA,"@dorac0 この一件見て思い出したのが、去年末に一世を風靡しネット民の怒りと軽蔑を受けた2つの事件、青木大和の｢＃どうして解散するんですかhttp://t.co/toSdJ1peaK」とグリーンピースによる｢ナスカの地上絵破壊テロhttp://t.co/MLk0sF0gnR」","http://twitter.com/dorac0/","http://twitter.com/","http://twitter.com/","http://twitter.com/dorac0/status/552797961516642304","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","LINK",NA,NA,"isComment,isTwitterReply","",NA,"[{""expended_url"":""http://dic.nicovideo.jp/a/%E3%81%A9%E3%81%86%E3%81%97%E3%81%A6%E8%A7%A3%E6%95%A3%E3%81%99%E3%82%8B%E3%82%93%E3%81%A7%E3%81%99%E3%81%8B%3F"",""display_url"":""dic.nicovideo.jp/a/%E3%81%A9%E3…"",""url"":""http://t.co/toSdJ1peaK""},{""expended_url"":""http://news.aol.jp/2014/12/10/greenpeace/"",""display_url"":""news.aol.jp/2014/12/10/gre…"",""url"":""http://t.co/MLk0sF0gnR""}]","",0,0,NA,NA,0,0,NA,NA,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,9,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,321,0,0,"","","","","",0,0,"tw:124750553",NA,"帝国師団長Ｋ.Ｋ",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/485305178476642304/4EKaopnG_normal.png","dorac0",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,9,321,"9"
"http://twitter.com/dekoponnjulep/status/552752614366916608","07/01/2015 10:04","07/01/2015 10:04","07/01/2015 10:06",NA,"痛いニュース(ﾉ∀`):フジテレビの番組、ナスカの地上絵に違法侵入し寝そべる　責任追及の可能性も blog.livedoor.jp/dqnplus/archiv… グリーンピース　お台場支部かよ",NA,"痛いニュース(ﾉ∀`):フジテレビの番組、ナスカの地上絵に違法侵入し寝そべる　責任追及の可能性も http://t.co/5okVShwgxE グリーンピース　お台場支部かよ","http://twitter.com/dekoponnjulep/","http://twitter.com/","http://twitter.com/","http://twitter.com/dekoponnjulep/status/552752614366916608","ja",0,100,0,0,"SOCIALMEDIA,SOCIALMEDIA_TWITTER","LINK",NA,NA,"","",NA,"[{""expended_url"":""http://blog.livedoor.jp/dqnplus/archives/1824271.html"",""display_url"":""blog.livedoor.jp/dqnplus/archiv…"",""url"":""http://t.co/5okVShwgxE""}]","",0,0,NA,NA,0,0,NA,NA,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,2,0,0,0,0,0,0,0,0,0,0,4.324e+09,0,604,0,0,"","","","","",0,0,"tw:2195429804",NA,"でこぽむじゅれ",0,"DAY","UNKNOWN","http://pbs.twimg.com/profile_images/550161121227722752/k8FuCqel_normal.jpeg","dekoponnjulep",NA,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,"Asia","Japan","jp","Tokyo","Tokyo",139.751407429,35.6850169058,2,604,"2"
